# Copyright (C) 2018  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 18.1.0 Build 625 09/12/2018 SJ Lite Edition
# File: /home/nebk/Documents/school/ADLD/ADLD_Robot/ADLD_Robot.csv
# Generated on: Tue Feb 12 15:48:34 2019

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,I/O Standard,Reserved,Current Strength,Strict Preservation
BLeft_IR_Sensor,Bidir,PIN_19,1,3.3V Schmitt Trigger Input,,,
BlueTooth_RCV_In,Input,PIN_52,2,3.3-V LVTTL,,,
BRight_IR_Sensor,Bidir,PIN_21,1,3.3V Schmitt Trigger Input,,,
Bumper,Input,PIN_55,2,3.3V Schmitt Trigger Input,,,
Button_1,Input,PIN_27,1,3.3V Schmitt Trigger Input,,,
Button_2,Input,PIN_28,1,3.3V Schmitt Trigger Input,,,
CDS_Cell,Input,PIN_51,1,3.3V Schmitt Trigger Input,,,
CLK_50MHZ,Input,PIN_64,2,3.3-V LVTTL,,,
Digit_1,Output,PIN_44,1,3.3-V LVTTL,,,
Digit_2,Output,PIN_43,1,3.3-V LVTTL,,,
Digit_3,Output,PIN_41,1,3.3-V LVTTL,,,
Digit_4,Output,PIN_35,1,3.3-V LVTTL,,,
Dip[2],Input,PIN_67,2,3.3-V LVTTL,,,
Dip[1],Input,PIN_69,2,3.3-V LVTTL,,,
Dip[0],Input,PIN_71,2,3.3-V LVTTL,,,
Extra_Pin,Input,PIN_56,2,3.3V Schmitt Trigger Input,,,
Front_IR_Sensor,Bidir,PIN_48,1,3.3V Schmitt Trigger Input,,,
Hall,Input,PIN_17,1,3.3V Schmitt Trigger Input,,,
LED_Blue,Output,PIN_68,2,3.3-V LVTTL,,,
LED_Green,Output,PIN_66,2,3.3-V LVTTL,,,
LED_Red,Output,PIN_62,2,3.3-V LVTTL,,,
Left_IR_Sensor,Bidir,PIN_50,1,3.3V Schmitt Trigger Input,,,
Left_Servo,Output,PIN_30,1,3.3-V LVTTL,,,
Right_IR_Sensor,Bidir,PIN_49,1,3.3V Schmitt Trigger Input,,,
Right_Servo,Output,PIN_33,1,3.3-V LVTTL,,,
Seg_A,Output,PIN_37,1,3.3-V LVTTL,,,
Seg_B,Output,PIN_47,1,3.3-V LVTTL,,,
Seg_C,Output,PIN_40,1,3.3-V LVTTL,,,
Seg_Colon,Output,PIN_38,1,3.3-V LVTTL,,,
Seg_D,Output,PIN_36,1,3.3-V LVTTL,,,
Seg_E,Output,PIN_34,1,3.3-V LVTTL,,,
Seg_F,Output,PIN_39,1,3.3-V LVTTL,,,
Seg_G,Output,PIN_42,1,3.3-V LVTTL,,,
Spare_Servo,Output,PIN_29,1,3.3-V LVTTL,,,
Speaker_74,Output,PIN_74,2,3.3-V LVTTL,,,
Speaker_82,Output,PIN_82,2,3.3-V LVTTL,,,
Blue_Tooth_TX_Out,Output,PIN_54,2,3.3-V LVTTL,,,
Blue_Tooth_TX_out,Unknown,PIN_54,2,3.3-V LVTTL,,,
